TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
14.089999999999975,2023-04-11 16:29:14,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,0
376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,0
126.29000000000002,2023-07-10 18:16:08,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,1
184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,1
13.449999999999989,2023-10-16 17:51:24,Credit,Atlanta,Online,26.0,Student,198.0,1.0,7429.4,1
92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,1
7.079999999999984,2023-02-15 16:36:48,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,0
171.42,2023-05-08 17:47:59,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,0
106.23000000000002,2023-03-21 16:59:46,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,0
815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8799999999997,0
17.78000000000003,2023-03-14 16:46:10,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,0
190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21.000000000000004,Student,173.0,1.0,1528.81,1
494.52,2023-06-07 17:21:28,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,1
781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,1
166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,1
465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,1
555.8,2023-10-30 16:52:49,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000007,1
492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,0
18.680000000000007,2023-02-21 16:56:50,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,0
71.48000000000002,2023-06-08 18:18:50,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,1
59.31999999999999,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,0
85.76999999999998,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,0
52.19999999999999,2023-06-06 18:54:15,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,0
345.84,2023-05-02 18:25:46,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,2
145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21.000000000000004,Student,96.0,1.0,1930.96,1
7.490000000000009,2023-10-20 17:53:13,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,0
40.31999999999999,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,1
127.44999999999999,2023-01-24 16:18:32,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,1
56.170000000000016,2023-09-20 16:55:42,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,1
28.310000000000002,2023-07-17 17:49:22,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,0
59.120000000000005,2023-02-06 16:24:24,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,0
877.81,2023-03-13 17:23:24,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,1
255.26,2023-10-27 16:42:49,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,0
124.75999999999999,2023-10-16 16:32:56,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,0
78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,1
649.28,2023-03-02 17:53:32,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,0
795.31,2023-10-12 17:07:40,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.88,2
335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3900000000003,0
328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,0
34.02000000000001,2023-01-09 16:13:21,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,0
241.42,2023-04-20 18:57:43,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,0
